didn't	0.04394005441981939
she	0.04078706105660972
i'm	0.024711519417155346
always	0.023410818210655323
i'll	0.03166840020570132
and	0.028592775125075517
i'm	0.16969028018399496
didn't	0.03875775149285337
will	0.058098207557855656
must	0.048465922909884565
feel	0.04832159778443149
mean	0.10303635145823131
i'm	0.09889684916572898
means	0.17936432918398856
don't	0.16574625890614608
i’m	0.16297026427647487
and	0.031200166613120674
and	0.028057682210832595
and	0.027215730658930567
to	0.02695497144204942
know	0.02682434914493487
and	0.024541994817798375
