didn't	0.04407316828344091
she	0.04091062310847108
i'm	0.024774780906863268
always	0.0234707499052746
i'll	0.031800633481126446
and	0.02869412869948111
i'm	0.16969028018399496
didn't	0.03887679479336301
will	0.058095098399143674
must	0.048600089055561804
feel	0.0484553644010243
mean	0.10303635145823131
i'm	0.09889684916572898
means	0.17936432918398856
don't	0.16574625890614608
i’m	0.16297026427647487
and	0.0314088813956374
and	0.02834022706391979
and	0.027288695186788173
to	0.027036005791834208
know	0.02690499080675348
and	0.024600311213647863
