she	0.013434362994765204
feel	0.008144095539382213
myself	0.006998379066672008
me	0.00688587442701822
i feel	0.006660137369082496
feel	0.007718887753698763
want	0.007428640959162896
i feel	0.006179191470066076
will	0.011119710071106088
he	0.007175068127139922
me	0.006814436812483045
my	0.00619981111863476
always	0.006081426185588159
no	0.005999981803145354
anything	0.005789231618186412
feel	0.012453999110413817
i feel	0.010512800755360046
should	0.009111169048489848
know	0.008503568372204397
feel	0.008176785315836306
i should	0.008029561560118513
i know	0.007936495593220565
be	0.007912967594736685
just	0.007573296647454848
like	0.007786187058658074
feel	0.0075441156947783595
don’t	0.006558390091592373
i feel	0.0063268662436046655
i’m	0.009510616689398602
she	0.009222006633830522
me	0.007223696036757083
like	0.0060112912541935145
it	0.005782539462463732
